Country,Index,Year,value
ALGERIA,GDP per capita (US$PPP),2003,9777.6
ALGERIA,GDP per capita (US$PPP),2004,10330.6
ALGERIA,GDP per capita (US$PPP),2005,11127.3
ALGERIA,GDP per capita (US$PPP),2006,11443.2
ALGERIA,GDP per capita (US$PPP),2007,11895.5
ALGERIA,GDP per capita (US$PPP),2008,12189.3
ALGERIA,GDP per capita (US$PPP),2009,12272
ALGERIA,GDP per capita (US$PPP),2010,12617.4
ALGERIA,GDP per capita (US$PPP),2011,12977.7
ALGERIA,GDP per capita (US$PPP),2012,13570
ALGERIA,GDP per capita (US$PPP),2013,13530
ALGERIA,GDP per capita (US$PPP),2014,13820
ALGERIA,Corruption Perceptions Index,1990,NA
ALGERIA,Corruption Perceptions Index,1991,NA
ALGERIA,Corruption Perceptions Index,1992,NA
ALGERIA,Corruption Perceptions Index,1993,NA
ALGERIA,Corruption Perceptions Index,1994,NA
ALGERIA,Corruption Perceptions Index,1995,NA
ALGERIA,Corruption Perceptions Index,1996,NA
ALGERIA,Corruption Perceptions Index,1997,NA
ALGERIA,Corruption Perceptions Index,1998,NA
ALGERIA,Corruption Perceptions Index,1999,NA
ALGERIA,Corruption Perceptions Index,2000,NA
ALGERIA,Corruption Perceptions Index,2001,NA
ALGERIA,Corruption Perceptions Index,2002,NA
ALGERIA,Corruption Perceptions Index,2003,2.6
ALGERIA,Corruption Perceptions Index,2004,2.7
ALGERIA,Corruption Perceptions Index,2005,2.8
ALGERIA,Corruption Perceptions Index,2006,3.1
ALGERIA,Corruption Perceptions Index,2007,3
ALGERIA,Corruption Perceptions Index,2008,3.2
ALGERIA,Corruption Perceptions Index,2009,2.8
ALGERIA,Corruption Perceptions Index,2010,2.9
ALGERIA,Corruption Perceptions Index,2011,2.9
ALGERIA,Corruption Perceptions Index,2012,3.4
ALGERIA,Corruption Perceptions Index,2013,3.6
ALGERIA,Corruption Perceptions Index,2014,3.94
ALGERIA,"Number of jailed population per 100,000 people",1990,NA
ALGERIA,"Number of jailed population per 100,000 people",1991,NA
ALGERIA,"Number of jailed population per 100,000 people",1992,NA
ALGERIA,"Number of jailed population per 100,000 people",1993,NA
ALGERIA,"Number of jailed population per 100,000 people",1994,NA
ALGERIA,"Number of jailed population per 100,000 people",1995,NA
ALGERIA,"Number of jailed population per 100,000 people",1996,124
ALGERIA,"Number of jailed population per 100,000 people",1997,123.5
ALGERIA,"Number of jailed population per 100,000 people",1998,123
ALGERIA,"Number of jailed population per 100,000 people",1999,118.67
ALGERIA,"Number of jailed population per 100,000 people",2000,114.33
ALGERIA,"Number of jailed population per 100,000 people",2001,110
ALGERIA,"Number of jailed population per 100,000 people",2002,118.67
ALGERIA,"Number of jailed population per 100,000 people",2003,127.33
ALGERIA,"Number of jailed population per 100,000 people",2004,136
ALGERIA,"Number of jailed population per 100,000 people",2005,127
ALGERIA,"Number of jailed population per 100,000 people",2006,144
ALGERIA,"Number of jailed population per 100,000 people",2007,161
ALGERIA,"Number of jailed population per 100,000 people",2008,162
ALGERIA,"Number of jailed population per 100,000 people",2009,163
ALGERIA,"Number of jailed population per 100,000 people",2010,164
ALGERIA,"Number of jailed population per 100,000 people",2011,NA
ALGERIA,"Number of jailed population per 100,000 people",2012,NA
ALGERIA,"Number of jailed population per 100,000 people",2013,NA
ALGERIA,"Number of jailed population per 100,000 people",2014,NA
ALGERIA,"Homicide per 100,000 people",1990,NA
ALGERIA,"Homicide per 100,000 people",1991,NA
ALGERIA,"Homicide per 100,000 people",1992,NA
ALGERIA,"Homicide per 100,000 people",1993,NA
ALGERIA,"Homicide per 100,000 people",1994,NA
ALGERIA,"Homicide per 100,000 people",1995,NA
ALGERIA,"Homicide per 100,000 people",1996,NA
ALGERIA,"Homicide per 100,000 people",1997,NA
ALGERIA,"Homicide per 100,000 people",1998,NA
ALGERIA,"Homicide per 100,000 people",1999,NA
ALGERIA,"Homicide per 100,000 people",2000,NA
ALGERIA,"Homicide per 100,000 people",2001,NA
ALGERIA,"Homicide per 100,000 people",2002,NA
ALGERIA,"Homicide per 100,000 people",2003,2
ALGERIA,"Homicide per 100,000 people",2004,1.3
ALGERIA,"Homicide per 100,000 people",2005,0.6
ALGERIA,"Homicide per 100,000 people",2006,0.9
ALGERIA,"Homicide per 100,000 people",2007,0.8
ALGERIA,"Homicide per 100,000 people",2008,0.9
ALGERIA,"Homicide per 100,000 people",2009,0.8
ALGERIA,"Homicide per 100,000 people",2010,0.7
ALGERIA,"Homicide per 100,000 people",2011,0.7
ALGERIA,"Homicide per 100,000 people",2012,NA
ALGERIA,"Homicide per 100,000 people",2013,NA
ALGERIA,"Homicide per 100,000 people",2014,NA
ALGERIA,Human Development Index,1990,0.58
ALGERIA,Human Development Index,1991,0.58
ALGERIA,Human Development Index,1992,0.58
ALGERIA,Human Development Index,1993,0.58
ALGERIA,Human Development Index,1994,0.58
ALGERIA,Human Development Index,1995,0.58
ALGERIA,Human Development Index,1996,0.59
ALGERIA,Human Development Index,1997,0.6
ALGERIA,Human Development Index,1998,0.61
ALGERIA,Human Development Index,1999,0.62
ALGERIA,Human Development Index,2000,0.63
ALGERIA,Human Development Index,2001,0.64
ALGERIA,Human Development Index,2002,0.65
ALGERIA,Human Development Index,2003,0.66
ALGERIA,Human Development Index,2004,0.67
ALGERIA,Human Development Index,2005,0.68
ALGERIA,Human Development Index,2006,0.68
ALGERIA,Human Development Index,2007,0.69
ALGERIA,Human Development Index,2008,0.7
ALGERIA,Human Development Index,2009,0.7
ALGERIA,Human Development Index,2010,0.71
ALGERIA,Human Development Index,2011,0.72
ALGERIA,Human Development Index,2012,0.72
ALGERIA,Human Development Index,2013,0.72
ALGERIA,Human Development Index,2014,NA
ALGERIA,Gini index,1990,NA
ALGERIA,Gini index,1991,NA
ALGERIA,Gini index,1992,NA
ALGERIA,Gini index,1993,NA
ALGERIA,Gini index,1994,NA
ALGERIA,Gini index,1995,35.33
ALGERIA,Gini index,1996,NA
ALGERIA,Gini index,1997,NA
ALGERIA,Gini index,1998,NA
ALGERIA,Gini index,1999,NA
ALGERIA,Gini index,2000,NA
ALGERIA,Gini index,2001,NA
ALGERIA,Gini index,2002,NA
ALGERIA,Gini index,2003,NA
ALGERIA,Gini index,2004,NA
ALGERIA,Gini index,2005,NA
ALGERIA,Gini index,2006,NA
ALGERIA,Gini index,2007,NA
ALGERIA,Gini index,2008,NA
ALGERIA,Gini index,2009,NA
ALGERIA,Gini index,2010,NA
ALGERIA,Gini index,2011,NA
ALGERIA,Gini index,2012,NA
ALGERIA,Gini index,2013,NA
ALGERIA,Gini index,2014,NA
ALGERIA,Citations H index,1990,NA
ALGERIA,Citations H index,1991,NA
ALGERIA,Citations H index,1992,NA
ALGERIA,Citations H index,1993,NA
ALGERIA,Citations H index,1994,NA
ALGERIA,Citations H index,1995,NA
ALGERIA,Citations H index,1996,NA
ALGERIA,Citations H index,1997,NA
ALGERIA,Citations H index,1998,NA
ALGERIA,Citations H index,1999,NA
ALGERIA,Citations H index,2000,NA
ALGERIA,Citations H index,2001,NA
ALGERIA,Citations H index,2002,NA
ALGERIA,Citations H index,2003,NA
ALGERIA,Citations H index,2004,NA
ALGERIA,Citations H index,2005,NA
ALGERIA,Citations H index,2006,NA
ALGERIA,Citations H index,2007,NA
ALGERIA,Citations H index,2008,NA
ALGERIA,Citations H index,2009,NA
ALGERIA,Citations H index,2010,68
ALGERIA,Citations H index,2011,74
ALGERIA,Citations H index,2012,NA
ALGERIA,Citations H index,2013,89
ALGERIA,Citations H index,2014,NA
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1990,55351
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1991,52738.1
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1992,53148.6
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1993,47633.2
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1994,46193.8
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1995,45415.8
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1996,45699.6
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1997,44714.5
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1998,45550.5
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),1999,46405.8
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2000,46148.1
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2001,44787
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2002,44748.8
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2003,45435.1
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2004,43225
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2005,43055.7
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2006,42065.5
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2007,44704.7
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2008,42995.6
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2009,42543.6
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2010,42890
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2011,44540
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2012,43090
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2013,41690
ALGERIA,Overall productivity of labour (GDP at US$PPP per worker),2014,42010
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1990,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1991,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1992,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1993,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1994,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1995,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1996,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1997,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1998,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,1999,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2000,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2001,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2002,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2003,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2004,1.29
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2005,1.43
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2006,1.57
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2007,1.71
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2008,1.86
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2009,2
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2010,2.14
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2011,1.51
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2012,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2013,NA
ALGERIA,Unemployment of those with tertiary level education over total unemployment,2014,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1990,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1991,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1992,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1993,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1994,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1995,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1996,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1997,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1998,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",1999,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2000,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2001,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2002,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2003,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2004,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2005,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2006,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2007,353.82
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2008,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2009,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2010,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2011,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2012,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2013,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 4",2014,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1990,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1991,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1992,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1993,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1994,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1995,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1996,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1997,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1998,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",1999,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2000,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2001,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2002,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2003,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2004,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2005,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2006,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2007,377.65
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2008,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2009,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2010,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2011,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2012,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2013,NA
ALGERIA,"TIMSS - Mathematics  Achievement, Grade 4",2014,NA
ALGERIA,Grade 4 - TIMSS,1990,NA
ALGERIA,Grade 4 - TIMSS,1991,NA
ALGERIA,Grade 4 - TIMSS,1992,NA
ALGERIA,Grade 4 - TIMSS,1993,NA
ALGERIA,Grade 4 - TIMSS,1994,NA
ALGERIA,Grade 4 - TIMSS,1995,NA
ALGERIA,Grade 4 - TIMSS,1996,NA
ALGERIA,Grade 4 - TIMSS,1997,NA
ALGERIA,Grade 4 - TIMSS,1998,NA
ALGERIA,Grade 4 - TIMSS,1999,NA
ALGERIA,Grade 4 - TIMSS,2000,NA
ALGERIA,Grade 4 - TIMSS,2001,NA
ALGERIA,Grade 4 - TIMSS,2002,NA
ALGERIA,Grade 4 - TIMSS,2003,NA
ALGERIA,Grade 4 - TIMSS,2004,NA
ALGERIA,Grade 4 - TIMSS,2005,NA
ALGERIA,Grade 4 - TIMSS,2006,NA
ALGERIA,Grade 4 - TIMSS,2007,365.73
ALGERIA,Grade 4 - TIMSS,2008,NA
ALGERIA,Grade 4 - TIMSS,2009,NA
ALGERIA,Grade 4 - TIMSS,2010,NA
ALGERIA,Grade 4 - TIMSS,2011,NA
ALGERIA,Grade 4 - TIMSS,2012,NA
ALGERIA,Grade 4 - TIMSS,2013,NA
ALGERIA,Grade 4 - TIMSS,2014,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1990,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1991,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1992,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1993,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1994,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1995,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1996,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1997,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1998,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",1999,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2000,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2001,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2002,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2003,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2004,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2005,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2006,407.29
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2007,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2008,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2009,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2010,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2011,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2012,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2013,NA
ALGERIA,"PIRLS - Reading Literacy Achievement, Grade 4",2014,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1990,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1991,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1992,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1993,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1994,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1995,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1996,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1997,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1998,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",1999,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2000,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2001,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2002,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2003,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2004,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2005,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2006,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2007,408.06
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2008,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2009,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2010,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2011,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2012,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2013,NA
ALGERIA,"TIMSS - Science  Achievement, Grade 8",2014,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1990,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1991,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1992,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1993,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1994,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1995,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1996,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1997,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1998,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",1999,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2000,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2001,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2002,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2003,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2004,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2005,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2006,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2007,386.75
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2008,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2009,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2010,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2011,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2012,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2013,NA
ALGERIA,"TIMSS - Mathematics Achievement, Grade 8",2014,NA
ALGERIA,Grade 8 - TIMSS,1990,NA
ALGERIA,Grade 8 - TIMSS,1991,NA
ALGERIA,Grade 8 - TIMSS,1992,NA
ALGERIA,Grade 8 - TIMSS,1993,NA
ALGERIA,Grade 8 - TIMSS,1994,NA
ALGERIA,Grade 8 - TIMSS,1995,NA
ALGERIA,Grade 8 - TIMSS,1996,NA
ALGERIA,Grade 8 - TIMSS,1997,NA
ALGERIA,Grade 8 - TIMSS,1998,NA
ALGERIA,Grade 8 - TIMSS,1999,NA
ALGERIA,Grade 8 - TIMSS,2000,NA
ALGERIA,Grade 8 - TIMSS,2001,NA
ALGERIA,Grade 8 - TIMSS,2002,NA
ALGERIA,Grade 8 - TIMSS,2003,NA
ALGERIA,Grade 8 - TIMSS,2004,NA
ALGERIA,Grade 8 - TIMSS,2005,NA
ALGERIA,Grade 8 - TIMSS,2006,NA
ALGERIA,Grade 8 - TIMSS,2007,397.41
